complaint_id,complaint_text,area,type,filing_date,department,predicted_priority,status,area_eta,type_eta,resolved_days,resolution_date,predicted_priority_eta,rating,feedback_text,resolution_status,actual_cost,resolved_on,predicted_cost,actual_cost_anomaly,variance_flag,type_anomaly,area_anomaly,resolved_days_new,resolution_date_new,cost_difference,cost_diff_percent
C0011,"Unauthorized parking near Lane 42 in Pimpri, causing congestion.",Pimpri,Illegal Parking,2024-02-27,Traffic and Transportation Department,Medium,Resolved,Camp,Tree Fall,172,2024-08-17,Medium,1,Issue still persists.,In Progress,0,,-34,False,No,Illegal Parking,Pimpri,16,2024-03-14,34,-1.0
C0012,"Unauthorized parking near Lane 24 in Deccan, causing congestion.",Deccan,Illegal Parking,2024-03-17,Traffic and Transportation Department,Medium,Resolved,Talegaon,Water Leakage,-68,2024-01-09,High,4,Appreciate the fast response.,Rejected,0,,-286,False,No,Illegal Parking,Deccan,5,2024-03-22,286,-1.0
C0013,"High noise levels from activities near Lane 60 in Warje, disturbing peace.",Warje,Noise Pollution,2024-04-09,Environmental Protection Department,Low,Pending,Kondhwa,Street Light,85,2024-07-03,High,2,Very poor response.,Completed,3431,2025-03-04,3261,False,No,Noise Pollution,Warje,0,,170,0.05213124808341
C0014,"Frequent power cuts near Lane 19 in NIBM Road, needs investigation.",NIBM Road,Electricity Issue,2024-02-13,Electricity Distribution Department,High,Resolved,Erandwane,Drainage Problem,295,2024-12-04,Low,2,Neutral experience.,Rejected,0,,-42,False,No,Electricity Issue,NIBM Road,26,2024-03-10,42,-1.0
C0015,"Water leakage from pipeline near Lane 28 in Hadapsar, needs urgent attention.",Hadapsar,Water Issue,2024-01-07,Water Supply and Sanitation Department,High,Resolved,Aundh,Water Leakage,304,2024-11-06,High,2,Neutral experience.,Completed,1634,2025-03-18,1221,True,Yes,Water Issue,Hadapsar,3,2024-01-10,413,0.3382473382473382
C0016,"Stray dogs causing fear near Lane 42 in NIBM Road, especially for kids.",NIBM Road,Animal Nuisance,2024-01-02,Animal Control and Welfare Department,Low,Resolved,Kondhwa,Noise Pollution,68,2024-03-10,High,5,Very satisfied with the resolution.,Completed,7893,2025-01-24,7765,False,No,Animal Nuisance,NIBM Road,7,2024-01-09,128,0.0164842240824211
C0017,"Damaged road with potholes near Lane 22 in Sinhagad Road, dangerous for vehicles.",Sinhagad Road,Road Damage,2024-03-13,Public Works Department,High,In Progress,Pimpri,Road Damage,88,2024-06-09,High,5,"Great service, very happy.",In Progress,0,,-401,False,Yes,Road Damage,Sinhagad Road,3,2024-03-16,401,-1.0
C0018,"Tree fallen near Lane 31 in Kothrud, blocking road and footpath.",Kothrud,Tree Falling,2024-01-10,Urban Forestry and Landscaping Department,High,Resolved,Camp,Illegal Construction,91,2024-04-10,Medium,4,Appreciate the fast response.,Completed,3806,2025-01-21,4177,False,Yes,Tree Falling,Kothrud,15,2024-01-25,371,0.0888197270768494
C0019,"Sewage overflow issue near Lane 10 in Pimpri, foul smell and waterlogging.",Pimpri,Sewage Problem,2024-04-04,Sewerage and Drainage Department,High,Pending,Warje,Noise Pollution,268,2024-12-28,High,2,"Not bad, not great.",Escalated,0,,163,True,No,Sewage Problem,Pimpri,0,,163,1.0
C0020,"Damaged road with potholes near Lane 26 in Erandwane, dangerous for vehicles.",Erandwane,Road Damage,2024-03-11,Public Works Department,High,In Progress,Dhankawadi,Water Leakage,-31,2024-02-09,High,5,Very satisfied with the resolution.,Completed,7902,2024-06-09,7532,False,Yes,Road Damage,Erandwane,8,2024-03-19,370,0.0491237387148167
C0021,"High noise levels from activities near Lane 2 in Baner, disturbing peace.",Baner,Noise Pollution,2024-03-09,Environmental Protection Department,Low,Resolved,Dhanori,Illegal Construction,-26,2024-02-12,Low,5,"Resolved quickly, thanks!",Completed,4496,2025-03-18,4657,False,No,Noise Pollution,Baner,25,2024-04-03,161,0.0345716126261541
C0022,"Water leakage from pipeline near Lane 5 in Koregaon Park, needs urgent attention.",Koregaon Park,Water Issue,2024-01-22,Water Supply and Sanitation Department,High,Resolved,Chinchwad,Road Damage,79,2024-04-10,Low,5,Very satisfied with the resolution.,Completed,4966,2025-01-25,4774,False,No,Water Issue,Koregaon Park,29,2024-02-20,192,0.0402178466694595
C0023,"High noise levels from activities near Lane 55 in Sinhagad Road, disturbing peace.",Sinhagad Road,Noise Pollution,2024-02-02,Environmental Protection Department,Low,Resolved,Baner,Tree Fall,130,2024-06-11,Low,4,"Resolved quickly, thanks!",Completed,6756,2024-06-11,7025,False,No,Noise Pollution,Sinhagad Road,22,2024-02-24,269,0.0382918149466192
C0024,"Water leakage from pipeline near Lane 63 in Wanowrie, needs urgent attention.",Wanowrie,Water Issue,2024-03-30,Water Supply and Sanitation Department,High,Pending,Karvenagar,Illegal Construction,177,2024-09-23,High,5,Very satisfied with the resolution.,Completed,7353,2025-01-21,7196,False,No,Water Issue,Wanowrie,0,,157,0.0218176764869371
C0025,"Tree fallen near Lane 18 in Hadapsar, blocking road and footpath.",Hadapsar,Tree Falling,2024-01-16,Urban Forestry and Landscaping Department,High,Pending,Kothrud,Illegal Construction,93,2024-04-18,High,4,Very satisfied with the resolution.,Completed,6223,2024-09-06,6214,False,No,Tree Falling,Hadapsar,0,,9,0.0014483424525265
C0026,"Water leakage from pipeline near Lane 25 in Pimpri, needs urgent attention.",Pimpri,Water Issue,2024-01-22,Water Supply and Sanitation Department,High,Pending,Kothrud,Illegal Construction,162,2024-07-02,Low,5,Appreciate the fast response.,Completed,2351,2025-03-13,2264,False,No,Water Issue,Pimpri,0,,87,0.0384275618374558
C0027,"Unauthorized parking near Lane 32 in Deccan, causing congestion.",Deccan,Illegal Parking,2024-03-07,Traffic and Transportation Department,Medium,In Progress,Swargate,Animal Nuisance,240,2024-11-02,High,4,"Resolved quickly, thanks!",Completed,9715,2025-03-16,10020,False,Yes,Illegal Parking,Deccan,5,2024-03-12,305,0.030439121756487
C0028,"Stray dogs causing fear near Lane 4 in Nigdi, especially for kids.",Nigdi,Animal Nuisance,2024-03-17,Animal Control and Welfare Department,Low,Pending,Talegaon,Sewage Overflow,127,2024-07-22,Medium,4,Appreciate the fast response.,Completed,5198,2024-03-04,5083,False,No,Animal Nuisance,Nigdi,0,,115,0.0226244343891402
C0029,"Frequent power cuts near Lane 37 in Camp, needs investigation.",Camp,Electricity Issue,2024-01-06,Electricity Distribution Department,High,In Progress,Karvenagar,Animal Nuisance,336,2024-12-07,Low,4,Very satisfied with the resolution.,Completed,7335,2025-03-14,7026,False,Yes,Electricity Issue,Camp,28,2024-02-03,309,0.0439795046968403
C0030,"Sewage overflow issue near Lane 29 in Chinchwad, foul smell and waterlogging.",Chinchwad,Sewage Problem,2024-03-09,Sewerage and Drainage Department,High,Pending,Erandwane,Street Light,-3,2024-03-06,High,2,Neutral experience.,In Progress,0,,455,True,Yes,Sewage Problem,Chinchwad,0,,455,1.0
C0031,"Stray dogs causing fear near Lane 2 in Dhanori, especially for kids.",Dhanori,Animal Nuisance,2024-03-13,Animal Control and Welfare Department,Low,Pending,Balewadi,Animal Nuisance,45,2024-04-27,Medium,2,Took some time but resolved.,Rejected,0,,-224,False,No,Animal Nuisance,Dhanori,0,,224,-1.0
C0032,"High noise levels from activities near Lane 63 in Swargate, disturbing peace.",Swargate,Noise Pollution,2024-01-30,Environmental Protection Department,Low,Resolved,Camp,Illegal Construction,232,2024-09-18,Low,5,"Great service, very happy.",In Progress,0,,-340,False,Yes,Noise Pollution,Swargate,27,2024-02-26,340,-1.0
C0033,"Uncollected garbage near Lane 40 in Wanowrie, causing health concerns.",Wanowrie,Garbage Issue,2024-04-10,Municipal Waste Management Department,Medium,Pending,Pimpri,Garbage Issue,208,2024-11-04,Medium,4,Very satisfied with the resolution.,Completed,2326,2024-09-07,2285,False,No,Garbage Issue,Wanowrie,0,,41,0.0179431072210065
C0034,"Uncollected garbage near Lane 39 in Aundh, causing health concerns.",Aundh,Garbage Issue,2024-03-13,Municipal Waste Management Department,Medium,Pending,Camp,Animal Nuisance,-1,2024-03-12,Medium,3,"Not bad, not great.",Completed,4342,2024-09-14,4155,False,No,Garbage Issue,Aundh,0,,187,0.045006016847172
C0035,"Sewage overflow issue near Lane 36 in Dhanori, foul smell and waterlogging.",Dhanori,Sewage Problem,2024-02-24,Sewerage and Drainage Department,High,In Progress,Lohegaon,Water Leakage,304,2024-12-24,Low,2,Average service.,Completed,3430,2024-08-28,2951,False,Yes,Sewage Problem,Dhanori,25,2024-03-20,479,0.1623178583531006
C0036,"Tree fallen near Lane 62 in Parvati, blocking road and footpath.",Parvati,Tree Falling,2024-02-28,Urban Forestry and Landscaping Department,High,In Progress,Kothrud,Drainage Problem,262,2024-11-16,Low,1,Had to follow up multiple times.,Completed,3987,2024-12-25,3739,False,No,Tree Falling,Parvati,28,2024-03-27,248,0.0663278951591334
C0037,"Damaged road with potholes near Lane 70 in Wanowrie, dangerous for vehicles.",Wanowrie,Road Damage,2024-01-04,Public Works Department,High,Pending,Talegaon,Noise Pollution,32,2024-02-05,Medium,3,Took some time but resolved.,Completed,8825,2024-06-11,9072,False,No,Road Damage,Wanowrie,0,,247,0.027226631393298
C0038,"Streetlights not working near Lane 51 in Wanowrie, causing night-time hazards.",Wanowrie,Streetlight Issue,2024-03-23,Urban Lighting and Infrastructure Department,Medium,Resolved,Camp,Road Damage,133,2024-08-03,Low,2,Took too long to resolve.,Rejected,0,,356,True,Yes,Streetlight Issue,Wanowrie,21,2024-04-13,356,1.0
C0039,"Uncollected garbage near Lane 40 in Aundh, causing health concerns.",Aundh,Garbage Issue,2024-03-16,Municipal Waste Management Department,Medium,In Progress,Kondhwa,Noise Pollution,258,2024-11-29,High,5,"Resolved quickly, thanks!",Completed,4232,2024-04-28,4292,False,No,Garbage Issue,Aundh,9,2024-03-25,60,0.0139794967381174
C0040,"Damaged road with potholes near Lane 34 in Pimpri, dangerous for vehicles.",Pimpri,Road Damage,2024-04-04,Public Works Department,High,Resolved,Pashan,Garbage Issue,2,2024-04-06,Low,5,Appreciate the fast response.,Completed,3888,2024-05-26,3862,False,No,Road Damage,Pimpri,29,2024-05-03,26,0.0067322630761263
C0041,"Unauthorized parking near Lane 69 in Erandwane, causing congestion.",Erandwane,Illegal Parking,2024-03-09,Traffic and Transportation Department,Medium,Resolved,Dhanori,Drainage Problem,282,2024-12-16,High,4,"Resolved quickly, thanks!",Completed,1051,2024-07-07,609,True,Yes,Illegal Parking,Erandwane,6,2024-03-15,442,0.7257799671592775
C0042,"Streetlights not working near Lane 4 in Pashan, causing night-time hazards.",Pashan,Streetlight Issue,2024-03-28,Urban Lighting and Infrastructure Department,Medium,Resolved,Vishrantwadi,Sewage Overflow,180,2024-09-24,High,5,Issue handled professionally.,Completed,7252,2024-04-14,7262,False,No,Streetlight Issue,Pashan,9,2024-04-06,10,0.0013770311209033
C0043,"Frequent power cuts near Lane 38 in Deccan, needs investigation.",Deccan,Electricity Issue,2024-04-05,Electricity Distribution Department,High,Resolved,Parvati,Tree Fall,48,2024-05-23,Low,4,Appreciate the fast response.,Completed,4013,2024-12-31,4194,False,No,Electricity Issue,Deccan,23,2024-04-28,181,0.0431568907963757
C0044,"Water leakage from pipeline near Lane 7 in Kharadi, needs urgent attention.",Kharadi,Water Issue,2024-02-06,Water Supply and Sanitation Department,High,In Progress,Nigdi,Tree Fall,172,2024-07-27,Low,5,Appreciate the fast response.,Completed,1735,2024-08-11,1710,False,No,Water Issue,Kharadi,24,2024-03-01,25,0.0146198830409356
C0045,"High noise levels from activities near Lane 23 in Dhankawadi, disturbing peace.",Dhankawadi,Noise Pollution,2024-02-14,Environmental Protection Department,Low,Pending,Sinhagad Road,Road Damage,230,2024-10-01,Medium,5,Very satisfied with the resolution.,Completed,2055,2024-08-30,2254,False,No,Noise Pollution,Dhankawadi,0,,199,0.0882874889086069
C0046,"High noise levels from activities near Lane 42 in Kharadi, disturbing peace.",Kharadi,Noise Pollution,2024-01-18,Environmental Protection Department,Low,Pending,Vishrantwadi,Illegal Construction,60,2024-03-18,Low,3,Average service.,In Progress,0,,475,True,Yes,Noise Pollution,Kharadi,0,,475,1.0
C0047,"Uncollected garbage near Lane 41 in NIBM Road, causing health concerns.",NIBM Road,Garbage Issue,2024-01-27,Municipal Waste Management Department,Medium,Pending,Fursungi,Noise Pollution,322,2024-12-14,High,4,"Resolved quickly, thanks!",In Progress,0,,282,True,No,Garbage Issue,NIBM Road,0,,282,1.0
C0048,"Stray dogs causing fear near Lane 59 in Erandwane, especially for kids.",Erandwane,Animal Nuisance,2024-03-19,Animal Control and Welfare Department,Low,Resolved,Pimpri,Tree Fall,58,2024-05-16,Medium,5,Appreciate the fast response.,Completed,644,2024-12-27,333,True,Yes,Animal Nuisance,Erandwane,11,2024-03-30,311,0.933933933933934
C0049,"Sewage overflow issue near Lane 31 in Hadapsar, foul smell and waterlogging.",Hadapsar,Sewage Problem,2024-03-12,Sewerage and Drainage Department,High,Pending,Shivajinagar,Tree Fall,1,2024-03-13,Medium,3,Neutral experience.,In Progress,0,,457,True,Yes,Sewage Problem,Hadapsar,0,,457,1.0
C0050,"High noise levels from activities near Lane 44 in Nigdi, disturbing peace.",Nigdi,Noise Pollution,2024-01-23,Environmental Protection Department,Low,In Progress,Parvati,Drainage Problem,323,2024-12-11,High,4,Very satisfied with the resolution.,Escalated,0,,186,True,No,Noise Pollution,Nigdi,3,2024-01-26,186,1.0
C0051,"High noise levels from activities near Lane 59 in Sinhagad Road, disturbing peace.",Sinhagad Road,Noise Pollution,2024-02-04,Environmental Protection Department,Low,Resolved,Kothrud,Sewage Overflow,155,2024-07-08,High,5,Appreciate the fast response.,Rejected,0,,457,True,Yes,Noise Pollution,Sinhagad Road,1,2024-02-05,457,1.0
C0052,"Unauthorized parking near Lane 46 in NIBM Road, causing congestion.",NIBM Road,Illegal Parking,2024-03-24,Traffic and Transportation Department,Medium,Resolved,Nanded,Garbage Issue,73,2024-06-05,Medium,4,Appreciate the fast response.,In Progress,0,,62,True,No,Illegal Parking,NIBM Road,13,2024-04-06,62,1.0
C0053,"Stray dogs causing fear near Lane 39 in Sinhagad Road, especially for kids.",Sinhagad Road,Animal Nuisance,2024-03-19,Animal Control and Welfare Department,Low,Resolved,Chinchwad,Noise Pollution,111,2024-07-08,Medium,3,"Not bad, not great.",Completed,1781,2024-04-28,2156,False,Yes,Animal Nuisance,Sinhagad Road,11,2024-03-30,375,0.1739332096474953
C0054,"Streetlights not working near Lane 17 in Baner, causing night-time hazards.",Baner,Streetlight Issue,2024-04-01,Urban Lighting and Infrastructure Department,Medium,In Progress,Kothrud,Garbage Issue,133,2024-08-12,Medium,4,"Great service, very happy.",Completed,9033,2024-09-27,9099,False,No,Streetlight Issue,Baner,11,2024-04-12,66,0.0072535443455324
C0055,"Water leakage from pipeline near Lane 60 in Pashan, needs urgent attention.",Pashan,Water Issue,2024-04-10,Water Supply and Sanitation Department,High,In Progress,Nanded,Sewage Overflow,39,2024-05-19,High,4,Very satisfied with the resolution.,In Progress,0,,-257,False,No,Water Issue,Pashan,1,2024-04-11,257,-1.0
C0056,"Stray dogs causing fear near Lane 54 in Baner, especially for kids.",Baner,Animal Nuisance,2024-01-17,Animal Control and Welfare Department,Low,In Progress,Warje,Garbage Issue,162,2024-06-27,High,5,Very satisfied with the resolution.,Completed,573,2024-12-15,904,True,Yes,Animal Nuisance,Baner,2,2024-01-19,331,0.3661504424778761
C0057,"Sewage overflow issue near Lane 41 in Deccan, foul smell and waterlogging.",Deccan,Sewage Problem,2024-01-14,Sewerage and Drainage Department,High,In Progress,Shivajinagar,Animal Nuisance,10,2024-01-24,Medium,4,Very satisfied with the resolution.,Completed,5647,2025-01-07,5651,False,No,Sewage Problem,Deccan,13,2024-01-27,4,0.0007078393204742
C0058,"Unauthorized parking near Lane 3 in Swargate, causing congestion.",Swargate,Illegal Parking,2024-03-12,Traffic and Transportation Department,Medium,Pending,Viman Nagar,Garbage Issue,139,2024-07-29,Medium,2,Average service.,Completed,8340,2024-06-21,7970,False,Yes,Illegal Parking,Swargate,0,,370,0.0464240903387703
C0059,"High noise levels from activities near Lane 69 in Kothrud, disturbing peace.",Kothrud,Noise Pollution,2024-01-15,Environmental Protection Department,Low,Pending,Kothrud,Sewage Overflow,208,2024-08-10,Low,2,Neutral experience.,Completed,9482,2024-02-08,9466,False,No,Noise Pollution,Kothrud,0,,16,0.0016902598774561
C0060,"Frequent power cuts near Lane 45 in Model Colony, needs investigation.",Model Colony,Electricity Issue,2024-01-05,Electricity Distribution Department,High,In Progress,Fursungi,Illegal Construction,97,2024-04-11,High,4,Very satisfied with the resolution.,Rejected,0,,318,True,Yes,Electricity Issue,Model Colony,6,2024-01-11,318,1.0
C0061,"Streetlights not working near Lane 44 in Pimpri, causing night-time hazards.",Pimpri,Streetlight Issue,2024-03-18,Urban Lighting and Infrastructure Department,Medium,Resolved,Fursungi,Street Light,193,2024-09-27,Medium,2,Not satisfied with the service.,Completed,7879,2024-09-05,8025,False,No,Streetlight Issue,Pimpri,16,2024-04-03,146,0.0181931464174454
C0062,"Damaged road with potholes near Lane 21 in Dhanori, dangerous for vehicles.",Dhanori,Road Damage,2024-03-10,Public Works Department,High,In Progress,Bavdhan,Drainage Problem,160,2024-08-17,High,1,Had to follow up multiple times.,Completed,6182,2024-09-12,5702,False,Yes,Road Damage,Dhanori,7,2024-03-17,480,0.0841809891266222
C0063,"Sewage overflow issue near Lane 47 in Model Colony, foul smell and waterlogging.",Model Colony,Sewage Problem,2024-02-06,Sewerage and Drainage Department,High,Resolved,Balewadi,Tree Fall,43,2024-03-20,Medium,3,Took some time but resolved.,Rejected,0,,340,True,Yes,Sewage Problem,Model Colony,16,2024-02-22,340,1.0
C0064,"Unauthorized parking near Lane 27 in Warje, causing congestion.",Warje,Illegal Parking,2024-01-19,Traffic and Transportation Department,Medium,In Progress,Pimpri,Sewage Overflow,48,2024-03-07,High,2,Very poor response.,Completed,2318,2024-07-01,1984,False,Yes,Illegal Parking,Warje,4,2024-01-23,334,0.1683467741935483
C0065,"Unauthorized parking near Lane 21 in Nigdi, causing congestion.",Nigdi,Illegal Parking,2024-03-11,Traffic and Transportation Department,Medium,In Progress,Shivajinagar,Water Leakage,123,2024-07-12,Medium,5,Very satisfied with the resolution.,Completed,3191,2024-11-22,2964,False,No,Illegal Parking,Nigdi,14,2024-03-25,227,0.0765856950067476
C0066,"High noise levels from activities near Lane 59 in Aundh, disturbing peace.",Aundh,Noise Pollution,2024-01-06,Environmental Protection Department,Low,In Progress,Balewadi,Animal Nuisance,308,2024-11-09,Medium,5,"Great service, very happy.",Completed,1629,2024-01-15,1516,False,No,Noise Pollution,Aundh,12,2024-01-18,113,0.0745382585751978
C0067,"Damaged road with potholes near Lane 68 in Model Colony, dangerous for vehicles.",Model Colony,Road Damage,2024-01-07,Public Works Department,High,Resolved,Balewadi,Sewage Overflow,322,2024-11-24,Low,4,Appreciate the fast response.,Completed,5248,2024-05-05,5348,False,No,Road Damage,Model Colony,20,2024-01-27,100,0.0186985789080029
C0068,"Water leakage from pipeline near Lane 54 in Sinhagad Road, needs urgent attention.",Sinhagad Road,Water Issue,2024-03-05,Water Supply and Sanitation Department,High,In Progress,Kondhwa,Sewage Overflow,-27,2024-02-07,Medium,1,Issue still persists.,Rejected,0,,-185,False,No,Water Issue,Sinhagad Road,17,2024-03-22,185,-1.0
C0069,"Frequent power cuts near Lane 9 in Balewadi, needs investigation.",Balewadi,Electricity Issue,2024-02-17,Electricity Distribution Department,High,Pending,Warje,Garbage Issue,296,2024-12-09,Medium,5,Very satisfied with the resolution.,Completed,2829,2024-11-10,2342,False,Yes,Electricity Issue,Balewadi,0,,487,0.2079419299743808
C0070,"Sewage overflow issue near Lane 20 in Dhankawadi, foul smell and waterlogging.",Dhankawadi,Sewage Problem,2024-02-20,Sewerage and Drainage Department,High,In Progress,Swargate,Road Damage,283,2024-11-29,Medium,2,Neutral experience.,In Progress,0,,-259,False,No,Sewage Problem,Dhankawadi,19,2024-03-10,259,-1.0
C0071,"Stray dogs causing fear near Lane 69 in Bavdhan, especially for kids.",Bavdhan,Animal Nuisance,2024-02-15,Animal Control and Welfare Department,Low,Resolved,Kharadi,Garbage Issue,237,2024-10-09,High,4,Issue handled professionally.,Completed,9410,2025-03-01,9686,False,No,Animal Nuisance,Bavdhan,7,2024-02-22,276,0.0284947346685938
C0072,"Streetlights not working near Lane 17 in Nigdi, causing night-time hazards.",Nigdi,Streetlight Issue,2024-01-01,Urban Lighting and Infrastructure Department,Medium,Pending,Vishrantwadi,Noise Pollution,69,2024-03-10,Medium,5,"Great service, very happy.",Completed,3026,2024-01-26,2871,False,No,Streetlight Issue,Nigdi,0,,155,0.0539881574364333
C0073,"Tree fallen near Lane 42 in Erandwane, blocking road and footpath.",Erandwane,Tree Falling,2024-04-09,Urban Forestry and Landscaping Department,High,In Progress,Camp,Road Damage,-52,2024-02-17,Low,4,Very satisfied with the resolution.,Completed,3645,2024-04-11,3709,False,No,Tree Falling,Erandwane,28,2024-05-07,64,0.0172553248854138
C0074,"Sewage overflow issue near Lane 6 in Viman Nagar, foul smell and waterlogging.",Viman Nagar,Sewage Problem,2024-02-22,Sewerage and Drainage Department,High,Resolved,Shivajinagar,Road Damage,95,2024-05-27,Low,5,"Great service, very happy.",Completed,6073,2024-06-26,6470,False,Yes,Sewage Problem,Viman Nagar,29,2024-03-22,397,0.0613601236476043
C0075,"Unauthorized parking near Lane 24 in Viman Nagar, causing congestion.",Viman Nagar,Illegal Parking,2024-03-14,Traffic and Transportation Department,Medium,Pending,Aundh,Street Light,71,2024-05-24,High,5,"Great service, very happy.",Completed,1064,2024-02-14,903,False,No,Illegal Parking,Viman Nagar,0,,161,0.1782945736434108
C0076,"Sewage overflow issue near Lane 49 in Viman Nagar, foul smell and waterlogging.",Viman Nagar,Sewage Problem,2024-01-08,Sewerage and Drainage Department,High,In Progress,Dhanori,Drainage Problem,187,2024-07-13,Low,1,Not satisfied with the service.,Completed,8229,2024-07-06,7820,False,Yes,Sewage Problem,Viman Nagar,23,2024-01-31,409,0.0523017902813299
C0077,"Stray dogs causing fear near Lane 29 in NIBM Road, especially for kids.",NIBM Road,Animal Nuisance,2024-02-01,Animal Control and Welfare Department,Low,Pending,Hadapsar,Animal Nuisance,127,2024-06-07,High,4,Issue handled professionally.,Completed,9566,2024-05-23,9432,False,No,Animal Nuisance,NIBM Road,0,,134,0.0142069550466497
C0078,"Damaged road with potholes near Lane 24 in Chinchwad, dangerous for vehicles.",Chinchwad,Road Damage,2024-03-31,Public Works Department,High,In Progress,Fursungi,Noise Pollution,23,2024-04-23,Medium,2,Took some time but resolved.,Rejected,0,,455,True,Yes,Road Damage,Chinchwad,14,2024-04-14,455,1.0
C0079,"Streetlights not working near Lane 31 in Deccan, causing night-time hazards.",Deccan,Streetlight Issue,2024-02-04,Urban Lighting and Infrastructure Department,Medium,Resolved,Vishrantwadi,Sewage Overflow,121,2024-06-04,Low,2,Average service.,Escalated,0,,-46,False,No,Streetlight Issue,Deccan,24,2024-02-28,46,-1.0
C0080,"Frequent power cuts near Lane 23 in Erandwane, needs investigation.",Erandwane,Electricity Issue,2024-01-30,Electricity Distribution Department,High,In Progress,Dhankawadi,Street Light,0,2024-01-30,Low,1,Not satisfied with the service.,Rejected,0,,-73,False,No,Electricity Issue,Erandwane,26,2024-02-25,73,-1.0
C0081,"High noise levels from activities near Lane 37 in Koregaon Park, disturbing peace.",Koregaon Park,Noise Pollution,2024-02-07,Environmental Protection Department,Low,Pending,Pashan,Garbage Issue,20,2024-02-27,Low,5,"Great service, very happy.",Completed,6848,2024-06-02,6856,False,No,Noise Pollution,Koregaon Park,0,,8,0.0011668611435239
C0082,"Sewage overflow issue near Lane 18 in Bibwewadi, foul smell and waterlogging.",Bibwewadi,Sewage Problem,2024-02-16,Sewerage and Drainage Department,High,In Progress,Nanded,Illegal Construction,222,2024-09-25,High,1,Had to follow up multiple times.,Rejected,0,,275,True,No,Sewage Problem,Bibwewadi,9,2024-02-25,275,1.0
